RedmiNote_11,TechnoCamon_20,Xiaomi_10T,Xiaomipoco_X3,Realme_6Pro,Vivo_Y21T
,-76.0,,-81.0,,
-85.0,-72.0,,-81.0,,-86.0
-85.0,-64.0,,-86.0,,-86.0
-75.0,-64.0,,-86.0,,-86.0
-75.0,-69.0,,-86.0,,-86.0
-75.0,-71.0,,-85.0,,-86.0
-87.0,-73.0,,-85.0,-88.0,-85.0
-87.0,-71.0,,-85.0,-88.0,-85.0
-77.0,-71.0,,-85.0,-88.0,-84.0
-77.0,-72.0,,-85.0,-88.0,-84.0
-87.0,-72.0,-89.0,-85.0,-90.0,-83.0
-87.0,-71.0,-89.0,-84.0,-90.0,-83.0
-84.0,-71.0,-90.0,-84.0,-88.0,-84.0
-83.0,-73.0,-90.0,-88.0,-88.0,-85.0
-83.0,-73.0,-82.0,-88.0,-89.0,-85.0
-83.0,-65.0,-82.0,-79.0,-89.0,-85.0
-83.0,-65.0,-82.0,-81.0,-89.0,-85.0
-85.0,-64.0,-82.0,-81.0,-87.0,-85.0
-85.0,-71.0,-82.0,-83.0,-87.0,-89.0
-85.0,-71.0,-82.0,-83.0,-87.0,-89.0
-85.0,-70.0,-82.0,-81.0,-87.0,-89.0
-84.0,-70.0,-82.0,-81.0,-87.0,-89.0
-84.0,-72.0,-82.0,-81.0,-87.0,-89.0
-84.0,-72.0,-82.0,-81.0,-87.0,-89.0
-83.0,-76.0,-82.0,-82.0,-84.0,-82.0
-86.0,-69.0,-82.0,-82.0,-84.0,-83.0
-83.0,-77.0,-81.0,-82.0,-83.0,-83.0
-83.0,-73.0,-81.0,-83.0,-83.0,-83.0
-83.0,-73.0,-87.0,-83.0,-84.0,-82.0
-83.0,-69.0,-87.0,-79.0,-87.0,-85.0
-83.0,-69.0,-87.0,-79.0,-87.0,-84.0
-85.0,-69.0,-87.0,-79.0,-87.0,-84.0
-85.0,-75.0,-87.0,-81.0,-87.0,-84.0
-85.0,-75.0,-87.0,-81.0,-85.0,-83.0
-85.0,-77.0,-87.0,-81.0,-85.0,-83.0
-85.0,-75.0,-87.0,-83.0,-85.0,-83.0
